"Number of months",120
"Number of groups",37
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name","Baleen whales","Toothed whales",Seals,Birds,"Sharks, large","Sharks, small medium","Rays, large","Rays, small medium","Pelagics, large","Pelagics, medium","Pelagics, small, carniv.","Pelagics, small, herbiv.","Benthopelagics, large","Benthopelagics, small medium","Demersals, large","Demersals, medium","Demersals, small","Reeffish, large","Reeffish, medium","Flatfish, large","Flatfish, small medium","Reeffish, small",Bathypelagics,Bathydemersals,Jellyfish,Cephalopods,Shrimps,"Lobsters, crabs",Macrobenthos,Meiobenthos,Corals,"Softcorals, sponges, etc",Krill,"Zooplankton, other",Phytoplankton,"Benthic plants",Detritus
"Month 1",-999,-999,-999,-999,0.09999999,0.1333333,0.12,0.06666666,0.125,0.3333333,0.02,0.04,0.25,0.5,0.26,0.4,-999,0.2,0.4,0.25,0.5,-999,-999,-999,-999,0.2,0.1,0.8,0.005,-999,-999,-999,-999,-999,-999,-999,-999
"Month 2",-999,-999,-999,-999,0.09999999,0.1333333,0.12,0.06666666,0.125,0.3333333,0.02,0.04,0.25,0.5,0.26,0.4,-999,0.2,0.4,0.25,0.5,-999,-999,-999,-999,0.2,0.1,0.8,0.005,-999,-999,-999,-999,-999,-999,-999,-999
"Month 3",-999,-999,-999,-999,0.09999999,0.1333333,0.12,0.06666666,0.125,0.3333333,0.02,0.04,0.25,0.5,0.26,0.4,-999,0.2,0.4,0.25,0.5,-999,-999,-999,-999,0.2,0.1,0.8,0.005,-999,-999,-999,-999,-999,-999,-999,-999
"Month 4",-999,-999,-999,-999,0.09999999,0.1333333,0.12,0.06666666,0.125,0.3333333,0.02,0.04,0.25,0.5,0.26,0.4,-999,0.2,0.4,0.25,0.5,-999,-999,-999,-999,0.2,0.1,0.8,0.005,-999,-999,-999,-999,-999,-999,-999,-999
"Month 5",-999,-999,-999,-999,0.09969999,0.1329333,0.11964,0.06646666,0.124625,0.3323333,0.01994,0.03988,0.24925,0.4985,0.25922,0.3988,-999,0.1994,0.3988,0.24925,0.4985,-999,-999,-999,-999,0.1994,0.0997,0.7976,0.004985,-999,-999,-999,-999,-999,-999,-999,-999
"Month 6",-999,-999,-999,-999,0.1125,0.15,0.135,0.075,0.140625,0.375,0.0225,0.045,0.28125,0.5625,0.2925,0.45,-999,0.225,0.45,0.28125,0.5625,-999,-999,-999,-999,0.225,0.1125,0.9,0.005625,-999,-999,-999,-999,-999,-999,-999,-999
"Month 7",-999,-999,-999,-999,0.1272,0.1696,0.15264,0.08479999,0.159,0.424,0.02544,0.05088,0.318,0.636,0.33072,0.5088,-999,0.2544,0.5088,0.318,0.636,-999,-999,-999,-999,0.2544,0.1272,1.0176,0.00636,-999,-999,-999,-999,-999,-999,-999,-999
"Month 8",-999,-999,-999,-999,0.1437,0.1916,0.17244,0.0958,0.179625,0.479,0.02874,0.05748,0.35925,0.7185,0.37362,0.5748,-999,0.2874,0.5748,0.35925,0.7185,-999,-999,-999,-999,0.2874,0.1437,1.1496,0.007185,-999,-999,-999,-999,-999,-999,-999,-999
"Month 9",-999,-999,-999,-999,0.1437,0.1916,0.17244,0.0958,0.179625,0.479,0.02874,0.05748,0.35925,0.7185,0.37362,0.5748,-999,0.2874,0.5748,0.35925,0.7185,-999,-999,-999,-999,0.2874,0.1437,1.1496,0.007185,-999,-999,-999,-999,-999,-999,-999,-999
"Month 10",-999,-999,-999,-999,0.1565,0.2086667,0.1878,0.1043333,0.195625,0.5216666,0.0313,0.0626,0.39125,0.7825,0.4069,0.626,-999,0.313,0.626,0.39125,0.7825,-999,-999,-999,-999,0.313,0.1565,1.252,0.007825,-999,-999,-999,-999,-999,-999,-999,-999
"Month 11",-999,-999,-999,-999,0.1638,0.2184,0.19656,0.1092,0.20475,0.5459999,0.03276,0.06552,0.4095,0.819,0.42588,0.6552,-999,0.3276,0.6552,0.4095,0.819,-999,-999,-999,-999,0.3276,0.1638,1.3104,0.008189999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 12",-999,-999,-999,-999,0.1711,0.2281333,0.20532,0.1140667,0.213875,0.5703333,0.03422,0.06844,0.42775,0.8555,0.44486,0.6844,-999,0.3422,0.6844,0.42775,0.8555,-999,-999,-999,-999,0.3422,0.1711,1.3688,0.008555,-999,-999,-999,-999,-999,-999,-999,-999
"Month 13",-999,-999,-999,-999,0.1803,0.2404,0.21636,0.1202,0.225375,0.601,0.03606,0.07212,0.45075,0.9015,0.46878,0.7212,-999,0.3606,0.7212,0.45075,0.9015,-999,-999,-999,-999,0.3606,0.1803,1.4424,0.009014999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 14",-999,-999,-999,-999,0.1949,0.2598667,0.23388,0.1299333,0.243625,0.6496666,0.03898,0.07796,0.48725,0.9745,0.50674,0.7796,-999,0.3898,0.7796,0.48725,0.9745,-999,-999,-999,-999,0.3898,0.1949,1.5592,0.009745,-999,-999,-999,-999,-999,-999,-999,-999
"Month 15",-999,-999,-999,-999,0.1949,0.2598667,0.23388,0.1299333,0.243625,0.6496666,0.03898,0.07796,0.48725,0.9745,0.50674,0.7796,-999,0.3898,0.7796,0.48725,0.9745,-999,-999,-999,-999,0.3898,0.1949,1.5592,0.009745,-999,-999,-999,-999,-999,-999,-999,-999
"Month 16",-999,-999,-999,-999,0.2022,0.2696,0.24264,0.1348,0.25275,0.674,0.04044,0.08088,0.5055,1.011,0.52572,0.8088,-999,0.4044,0.8088,0.5055,1.011,-999,-999,-999,-999,0.4044,0.2022,1.6176,0.01011,-999,-999,-999,-999,-999,-999,-999,-999
"Month 17",-999,-999,-999,-999,0.2114,0.2818667,0.25368,0.1409333,0.26425,0.7046667,0.04228,0.08456,0.5285,1.057,0.54964,0.8456001,-999,0.4228,0.8456001,0.5285,1.057,-999,-999,-999,-999,0.4228,0.2114,1.6912,0.01057,-999,-999,-999,-999,-999,-999,-999,-999
"Month 18",-999,-999,-999,-999,0.2279,0.3038667,0.27348,0.1519333,0.284875,0.7596666,0.04558,0.09116,0.56975,1.1395,0.59254,0.9116001,-999,0.4558,0.9116001,0.56975,1.1395,-999,-999,-999,-999,0.4558,0.2279,1.8232,0.011395,-999,-999,-999,-999,-999,-999,-999,-999
"Month 19",-999,-999,-999,-999,0.2279,0.3038667,0.27348,0.1519333,0.284875,0.7596666,0.04558,0.09116,0.56975,1.1395,0.59254,0.9116001,-999,0.4558,0.9116001,0.56975,1.1395,-999,-999,-999,-999,0.4558,0.2279,1.8232,0.011395,-999,-999,-999,-999,-999,-999,-999,-999
"Month 20",-999,-999,-999,-999,0.2279,0.3038667,0.27348,0.1519333,0.284875,0.7596666,0.04558,0.09116,0.56975,1.1395,0.59254,0.9116001,-999,0.4558,0.9116001,0.56975,1.1395,-999,-999,-999,-999,0.4558,0.2279,1.8232,0.011395,-999,-999,-999,-999,-999,-999,-999,-999
"Month 21",-999,-999,-999,-999,0.2425,0.3233333,0.291,0.1616666,0.303125,0.8083333,0.0485,0.097,0.60625,1.2125,0.6305,0.97,-999,0.485,0.97,0.60625,1.2125,-999,-999,-999,-999,0.485,0.2425,1.94,0.012125,-999,-999,-999,-999,-999,-999,-999,-999
"Month 22",-999,-999,-999,-999,0.2425,0.3233333,0.291,0.1616666,0.303125,0.8083333,0.0485,0.097,0.60625,1.2125,0.6305,0.97,-999,0.485,0.97,0.60625,1.2125,-999,-999,-999,-999,0.485,0.2425,1.94,0.012125,-999,-999,-999,-999,-999,-999,-999,-999
"Month 23",-999,-999,-999,-999,0.2425,0.3233333,0.291,0.1616666,0.303125,0.8083333,0.0485,0.097,0.60625,1.2125,0.6305,0.97,-999,0.485,0.97,0.60625,1.2125,-999,-999,-999,-999,0.485,0.2425,1.94,0.012125,-999,-999,-999,-999,-999,-999,-999,-999
"Month 24",-999,-999,-999,-999,0.2517,0.3356,0.30204,0.1678,0.314625,0.8389999,0.05034,0.10068,0.62925,1.2585,0.65442,1.0068,-999,0.5034,1.0068,0.62925,1.2585,-999,-999,-999,-999,0.5034,0.2517,2.0136,0.012585,-999,-999,-999,-999,-999,-999,-999,-999
"Month 25",-999,-999,-999,-999,0.2517,0.3356,0.30204,0.1678,0.314625,0.8389999,0.05034,0.10068,0.62925,1.2585,0.65442,1.0068,-999,0.5034,1.0068,0.62925,1.2585,-999,-999,-999,-999,0.5034,0.2517,2.0136,0.012585,-999,-999,-999,-999,-999,-999,-999,-999
"Month 26",-999,-999,-999,-999,0.2517,0.3356,0.30204,0.1678,0.314625,0.8389999,0.05034,0.10068,0.62925,1.2585,0.65442,1.0068,-999,0.5034,1.0068,0.62925,1.2585,-999,-999,-999,-999,0.5034,0.2517,2.0136,0.012585,-999,-999,-999,-999,-999,-999,-999,-999
"Month 27",-999,-999,-999,-999,0.2627,0.3502667,0.31524,0.1751333,0.328375,0.8756666,0.05254,0.10508,0.65675,1.3135,0.68302,1.0508,-999,0.5254,1.0508,0.65675,1.3135,-999,-999,-999,-999,0.5254,0.2627,2.1016,0.013135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 28",-999,-999,-999,-999,0.2627,0.3502667,0.31524,0.1751333,0.328375,0.8756666,0.05254,0.10508,0.65675,1.3135,0.68302,1.0508,-999,0.5254,1.0508,0.65675,1.3135,-999,-999,-999,-999,0.5254,0.2627,2.1016,0.013135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 29",-999,-999,-999,-999,0.2627,0.3502667,0.31524,0.1751333,0.328375,0.8756666,0.05254,0.10508,0.65675,1.3135,0.68302,1.0508,-999,0.5254,1.0508,0.65675,1.3135,-999,-999,-999,-999,0.5254,0.2627,2.1016,0.013135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 30",-999,-999,-999,-999,0.2627,0.3502667,0.31524,0.1751333,0.328375,0.8756666,0.05254,0.10508,0.65675,1.3135,0.68302,1.0508,-999,0.5254,1.0508,0.65675,1.3135,-999,-999,-999,-999,0.5254,0.2627,2.1016,0.013135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 31",-999,-999,-999,-999,0.2627,0.3502667,0.31524,0.1751333,0.328375,0.8756666,0.05254,0.10508,0.65675,1.3135,0.68302,1.0508,-999,0.5254,1.0508,0.65675,1.3135,-999,-999,-999,-999,0.5254,0.2627,2.1016,0.013135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 32",-999,-999,-999,-999,0.27,0.36,0.324,0.18,0.3375,0.9,0.054,0.108,0.675,1.35,0.702,1.08,-999,0.54,1.08,0.675,1.35,-999,-999,-999,-999,0.54,0.27,2.16,0.0135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 33",-999,-999,-999,-999,0.27,0.36,0.324,0.18,0.3375,0.9,0.054,0.108,0.675,1.35,0.702,1.08,-999,0.54,1.08,0.675,1.35,-999,-999,-999,-999,0.54,0.27,2.16,0.0135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 34",-999,-999,-999,-999,0.27,0.36,0.324,0.18,0.3375,0.9,0.054,0.108,0.675,1.35,0.702,1.08,-999,0.54,1.08,0.675,1.35,-999,-999,-999,-999,0.54,0.27,2.16,0.0135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 35",-999,-999,-999,-999,0.27,0.36,0.324,0.18,0.3375,0.9,0.054,0.108,0.675,1.35,0.702,1.08,-999,0.54,1.08,0.675,1.35,-999,-999,-999,-999,0.54,0.27,2.16,0.0135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 36",-999,-999,-999,-999,0.27,0.36,0.324,0.18,0.3375,0.9,0.054,0.108,0.675,1.35,0.702,1.08,-999,0.54,1.08,0.675,1.35,-999,-999,-999,-999,0.54,0.27,2.16,0.0135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 37",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 38",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 39",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 40",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 41",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 42",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 43",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 44",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 45",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 46",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 47",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 48",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 49",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 50",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 51",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 52",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 53",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 54",-999,-999,-999,-999,0.3066,0.4088,0.36792,0.2044,0.38325,1.022,0.06132,0.12264,0.7665,1.533,0.79716,1.2264,-999,0.6131999,1.2264,0.7665,1.533,-999,-999,-999,-999,0.6132,0.3066,2.4528,0.01533,-999,-999,-999,-999,-999,-999,-999,-999
"Month 55",-999,-999,-999,-999,0.3066,0.4088,0.36792,0.2044,0.38325,1.022,0.06132,0.12264,0.7665,1.533,0.79716,1.2264,-999,0.6131999,1.2264,0.7665,1.533,-999,-999,-999,-999,0.6132,0.3066,2.4528,0.01533,-999,-999,-999,-999,-999,-999,-999,-999
"Month 56",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 57",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 58",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
