"Number of months",120
"Month 59",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 60",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 61",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 62",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 63",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 64",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 65",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 66",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 67",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 68",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 69",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 70",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 71",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 72",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 73",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 74",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 75",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 76",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 77",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 78",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 79",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 80",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 81",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 82",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 83",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 84",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 85",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 86",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 87",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 88",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 89",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 90",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 91",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 92",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 93",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 94",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 95",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 96",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 97",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 98",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 99",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 100",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 101",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 102",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 103",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 104",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 105",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 106",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 107",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 108",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 109",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 110",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 111",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 112",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 113",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 114",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 115",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 116",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 117",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 118",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 119",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 120",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
