"Number of months",612
"Number of nutrients",1
"Group name",Nutrients
"Month 1",0.189
"Month 2",0.204
"Month 3",0.217
"Month 4",0.247
"Month 5",0.252
"Month 6",0.257
"Month 7",0.283
"Month 8",0.333
"Month 9",0.386
"Month 10",0.413
"Month 11",0.41
"Month 12",0.404
"Month 13",0.398
"Month 14",0.394
"Month 15",0.413
"Month 16",0.42
"Month 17",0.413
"Month 18",0.418
"Month 19",0.428
"Month 20",0.467
"Month 21",0.49
"Month 22",0.585
"Month 23",0.595
"Month 24",0.584
"Month 25",0.578
"Month 26",0.58
"Month 27",0.571
"Month 28",0.584
"Month 29",0.57
"Month 30",0.571
"Month 31",0.595
"Month 32",0.688
"Month 33",0.917
"Month 34",1.004
"Month 35",1.013
"Month 36",1.006
"Month 37",0.994
"Month 38",0.96
"Month 39",0.925
"Month 40",0.887
"Month 41",0.855
"Month 42",0.841
"Month 43",0.854
"Month 44",0.875
"Month 45",0.892
"Month 46",0.87
"Month 47",0.831
"Month 48",0.798
"Month 49",0.773
"Month 50",0.752
"Month 51",0.728
"Month 52",0.712
"Month 53",0.694
"Month 54",0.666
"Month 55",0.671
"Month 56",0.739
"Month 57",0.802
"Month 58",0.779
"Month 59",0.745
"Month 60",0.715
"Month 61",0.686
"Month 62",0.669
"Month 63",0.653
"Month 64",0.637
"Month 65",0.622
"Month 66",0.607
"Month 67",0.602
"Month 68",0.606
"Month 69",0.637
"Month 70",0.672
"Month 71",0.646
"Month 72",0.62
"Month 73",0.597
"Month 74",0.582
"Month 75",0.6
"Month 76",0.652
"Month 77",0.689
"Month 78",0.712
"Month 79",0.752
"Month 80",0.875
"Month 81",0.968
"Month 82",1.01
"Month 83",0.944
"Month 84",0.892
"Month 85",0.891
"Month 86",0.891
"Month 87",0.972
"Month 88",1.015
"Month 89",1.018
"Month 90",0.976
"Month 91",0.975
"Month 92",0.974
"Month 93",0.97
"Month 94",0.938
"Month 95",0.916
"Month 96",0.901
"Month 97",0.919
"Month 98",0.914
"Month 99",1.146
"Month 100",1.232
"Month 101",1.248
"Month 102",1.288
"Month 103",1.349
"Month 104",1.401
"Month 105",1.552
"Month 106",1.584
"Month 107",1.549
"Month 108",1.418
"Month 109",1.326
"Month 110",1.257
"Month 111",1.365
"Month 112",1.395
"Month 113",1.306
"Month 114",1.182
"Month 115",1.161
"Month 116",1.53
"Month 117",1.671
"Month 118",1.702
"Month 119",1.574
"Month 120",1.406
"Month 121",1.314
"Month 122",1.207
"Month 123",1.155
"Month 124",1.094
"Month 125",1.039
"Month 126",0.98
"Month 127",0.927
"Month 128",0.915
"Month 129",0.918
"Month 130",0.876
"Month 131",0.827
"Month 132",0.783
"Month 133",0.769
"Month 134",0.753
"Month 135",0.737
"Month 136",0.743
"Month 137",0.701
"Month 138",0.774
"Month 139",0.806
"Month 140",0.956
"Month 141",1.32
"Month 142",1.325
"Month 143",1.247
"Month 144",1.215
"Month 145",1.169
"Month 146",1.071
"Month 147",1.369
"Month 148",1.296
"Month 149",1.175
"Month 150",1.105
"Month 151",1.259
"Month 152",1.286
"Month 153",1.251
"Month 154",1.208
"Month 155",1.15
"Month 156",1.085
"Month 157",1.169
"Month 158",1.319
"Month 159",1.338
"Month 160",1.358
"Month 161",1.33
"Month 162",1.238
"Month 163",1.205
"Month 164",1.296
"Month 165",1.395
"Month 166",1.406
"Month 167",1.302
"Month 168",1.239
"Month 169",1.219
"Month 170",1.206
"Month 171",1.205
"Month 172",1.13
"Month 173",1.104
"Month 174",1.075
"Month 175",1.135
"Month 176",1.497
"Month 177",1.567
"Month 178",1.577
"Month 179",1.473
"Month 180",1.358
"Month 181",1.319
"Month 182",1.295
"Month 183",1.326
"Month 184",1.274
"Month 185",1.224
"Month 186",1.279
"Month 187",1.313
"Month 188",1.427
"Month 189",1.474
"Month 190",1.501
"Month 191",1.426
"Month 192",1.329
"Month 193",1.248
"Month 194",1.216
"Month 195",1.184
"Month 196",1.13
"Month 197",1.074
"Month 198",1.048
"Month 199",1.104
"Month 200",1.514
"Month 201",1.609
"Month 202",1.559
"Month 203",1.452
"Month 204",1.328
"Month 205",1.254
"Month 206",1.205
"Month 207",1.174
"Month 208",1.128
"Month 209",1.077
"Month 210",1.174
"Month 211",1.585
"Month 212",1.668
"Month 213",1.817
"Month 214",1.753
"Month 215",1.691
"Month 216",1.576
"Month 217",1.524
"Month 218",1.468
"Month 219",1.496
"Month 220",1.473
"Month 221",1.384
"Month 222",1.34
"Month 223",1.292
"Month 224",1.477
"Month 225",1.695
"Month 226",1.763
"Month 227",1.711
"Month 228",1.679
"Month 229",1.689
"Month 230",1.69
"Month 231",1.774
"Month 232",1.761
"Month 233",1.668
"Month 234",1.649
"Month 235",1.625
"Month 236",1.571
"Month 237",1.56
"Month 238",1.487
"Month 239",1.356
"Month 240",1.271
"Month 241",1.181
"Month 242",1.161
"Month 243",1.132
"Month 244",1.1
"Month 245",1.073
"Month 246",1.032
"Month 247",1.016
"Month 248",1.129
"Month 249",1.319
"Month 250",1.37
"Month 251",1.307
"Month 252",1.265
"Month 253",1.203
"Month 254",1.272
"Month 255",1.231
"Month 256",1.197
"Month 257",1.166
"Month 258",1.149
"Month 259",1.126
"Month 260",1.114
"Month 261",1.14
"Month 262",1.101
"Month 263",1.068
"Month 264",1.058
"Month 265",1.097
"Month 266",1.179
"Month 267",1.183
"Month 268",1.29
"Month 269",1.262
"Month 270",1.188
"Month 271",1.148
"Month 272",1.244
"Month 273",1.406
"Month 274",1.36
"Month 275",1.314
"Month 276",1.26
"Month 277",1.259
"Month 278",1.219
"Month 279",1.16
"Month 280",1.133
"Month 281",1.095
"Month 282",1.101
"Month 283",1.417
"Month 284",1.866
"Month 285",1.872
"Month 286",1.715
"Month 287",1.456
"Month 288",1.331
"Month 289",1.219
"Month 290",1.165
"Month 291",1.121
"Month 292",1.077
"Month 293",1.029
"Month 294",0.996
"Month 295",1.032
"Month 296",1.262
"Month 297",1.365
"Month 298",1.482
"Month 299",1.479
"Month 300",1.38
"Month 301",1.311
"Month 302",1.253
"Month 303",1.186
"Month 304",1.173
"Month 305",1.13
"Month 306",1.357
"Month 307",1.342
"Month 308",1.347
"Month 309",1.332
"Month 310",1.224
"Month 311",1.109
"Month 312",1.07
"Month 313",1.053
"Month 314",0.908
"Month 315",1.047
"Month 316",1.003
"Month 317",0.899
"Month 318",0.826
"Month 319",0.906
"Month 320",0.924
"Month 321",0.981
"Month 322",0.922
"Month 323",0.831
"Month 324",0.798
"Month 325",0.828
"Month 326",1.017
"Month 327",1.131
"Month 328",1.097
"Month 329",1.048
"Month 330",1.008
"Month 331",1.053
"Month 332",1.344
"Month 333",1.317
"Month 334",1.257
"Month 335",1.136
"Month 336",1.059
"Month 337",1.08
"Month 338",1.085
"Month 339",1.156
"Month 340",1.076
"Month 341",1.122
"Month 342",1.121
"Month 343",1.121
"Month 344",1.238
"Month 345",1.706
"Month 346",1.869
"Month 347",1.797
"Month 348",1.614
"Month 349",1.533
"Month 350",1.437
"Month 351",1.41
"Month 352",1.375
"Month 353",1.35
"Month 354",1.326
"Month 355",1.318
"Month 356",1.328
"Month 357",1.312
"Month 358",1.254
"Month 359",1.18
"Month 360",1.134
"Month 361",1.084
"Month 362",1.057
"Month 363",1.014
"Month 364",0.966
"Month 365",0.92
"Month 366",0.893
"Month 367",0.88
"Month 368",0.944
"Month 369",1.149
"Month 370",1.108
"Month 371",1.035
"Month 372",0.966
"Month 373",0.936
"Month 374",0.921
"Month 375",0.921
"Month 376",0.914
"Month 377",0.894
"Month 378",0.992
"Month 379",1.095
"Month 380",1.188
"Month 381",1.325
"Month 382",1.355
"Month 383",1.296
"Month 384",1.197
"Month 385",1.119
"Month 386",1.187
"Month 387",1.297
"Month 388",1.329
"Month 389",1.292
"Month 390",1.243
"Month 391",1.258
"Month 392",1.297
"Month 393",1.354
"Month 394",1.309
"Month 395",1.223
"Month 396",1.182
"Month 397",1.194
"Month 398",1.179
"Month 399",1.176
"Month 400",1.158
"Month 401",1.096
"Month 402",1.055
"Month 403",1.059
"Month 404",1.099
"Month 405",1.074
"Month 406",1.003
"Month 407",0.92
"Month 408",0.866
"Month 409",0.824
"Month 410",0.793
"Month 411",0.764
"Month 412",0.74
"Month 413",0.718
"Month 414",0.7
"Month 415",0.692
"Month 416",0.811
"Month 417",0.91
"Month 418",0.893
"Month 419",0.833
"Month 420",0.793
"Month 421",0.793
"Month 422",0.785
"Month 423",0.797
"Month 424",0.775
"Month 425",0.757
"Month 426",0.75
"Month 427",0.775
"Month 428",0.87
"Month 429",0.926
"Month 430",0.902
"Month 431",0.851
"Month 432",0.817
"Month 433",0.789
"Month 434",0.774
"Month 435",0.86
"Month 436",0.961
"Month 437",1
"Month 438",0.964
"Month 439",0.971
"Month 440",0.993
"Month 441",0.993
"Month 442",0.964
"Month 443",0.934
"Month 444",0.895
"Month 445",0.872
"Month 446",0.847
"Month 447",0.873
"Month 448",0.839
"Month 449",0.815
"Month 450",0.795
"Month 451",0.788
"Month 452",0.851
"Month 453",1.122
"Month 454",1.105
"Month 455",1.061
"Month 456",1.058
"Month 457",1.031
"Month 458",0.995
"Month 459",0.954
"Month 460",0.916
"Month 461",0.876
"Month 462",0.835
"Month 463",0.824
"Month 464",0.809
"Month 465",0.85
"Month 466",0.831
"Month 467",0.79
"Month 468",0.773
"Month 469",0.748
"Month 470",0.734
"Month 471",0.715
"Month 472",0.69
"Month 473",0.657
"Month 474",0.638
"Month 475",0.64
"Month 476",0.652
"Month 477",0.651
"Month 478",0.644
"Month 479",0.612
"Month 480",0.581
"Month 481",0.56
"Month 482",0.544
"Month 483",0.536
"Month 484",0.534
"Month 485",0.566
"Month 486",0.6
"Month 487",0.805
"Month 488",0.893
"Month 489",0.893
"Month 490",0.825
"Month 491",0.762
"Month 492",0.714
"Month 493",0.676
"Month 494",0.66
"Month 495",0.651
"Month 496",0.641
"Month 497",0.624
"Month 498",0.681
"Month 499",0.705
"Month 500",0.74
"Month 501",0.771
"Month 502",0.77
"Month 503",0.706
"Month 504",0.665
"Month 505",0.649
"Month 506",0.642
"Month 507",0.662
"Month 508",0.683
"Month 509",0.663
"Month 510",0.644
"Month 511",0.636
"Month 512",0.637
"Month 513",0.709
"Month 514",0.704
"Month 515",0.668
"Month 516",0.637
"Month 517",0.626
"Month 518",0.609
"Month 519",0.594
"Month 520",0.582
"Month 521",0.568
"Month 522",0.596
"Month 523",0.65
"Month 524",0.767
"Month 525",0.984
"Month 526",1.038
"Month 527",1.015
"Month 528",0.978
"Month 529",0.932
"Month 530",0.913
"Month 531",0.886
"Month 532",0.86
"Month 533",0.84
"Month 534",0.815
"Month 535",0.833
"Month 536",0.946
"Month 537",1.01
"Month 538",1.03
"Month 539",1.028
"Month 540",0.973
"Month 541",0.978
"Month 542",0.958
"Month 543",0.944
"Month 544",0.946
"Month 545",0.916
"Month 546",0.866
"Month 547",0.832
"Month 548",0.855
"Month 549",0.829
"Month 550",0.783
"Month 551",0.734
"Month 552",0.701
"Month 553",0.669
"Month 554",0.645
"Month 555",0.627
"Month 556",0.615
"Month 557",0.603
"Month 558",0.581
"Month 559",0.571
"Month 560",0.608
"Month 561",0.638
"Month 562",0.662
"Month 563",0.742
"Month 564",0.873
"Month 565",0.949
"Month 566",1.027
"Month 567",1.11
"Month 568",1.122
"Month 569",1.047
"Month 570",0.958
"Month 571",0.889
"Month 572",0.872
"Month 573",0.941
"Month 574",0.935
"Month 575",0.878
"Month 576",0.846
"Month 577",0.823
"Month 578",0.704
"Month 579",0.769
"Month 580",0.75
"Month 581",0.702
"Month 582",0.666
"Month 583",0.708
"Month 584",0.71
"Month 585",0.679
"Month 586",0.663
"Month 587",0.626
"Month 588",0.593
"Month 589",0.573
"Month 590",0.561
"Month 591",0.541
"Month 592",0.529
"Month 593",0.505
"Month 594",0.488
"Month 595",0.478
"Month 596",0.48
"Month 597",0.502
"Month 598",0.488
"Month 599",0.46
"Month 600",0.442
"Month 601",1
"Month 602",1
"Month 603",1
"Month 604",1
"Month 605",1
"Month 606",1
"Month 607",1
"Month 608",1
"Month 609",1
"Month 610",1
"Month 611",1
"Month 612",1
